kappa,theta,sigma,price_euler1000,ci_euler1000,time_euler1000,price_euler30,ci_euler30,time_euler30,price_exact1000,ci_exact1000,time_exact1000,price_exact30,ci_exact30,time_exact30,price_ae1000,ci_ae1000,time_ae1000,price_ae30,ci_ae30,time_ae30
5.000,0.050,1.000,0.094001,0.000821,5.092,0.099881,0.000856,0.203,0.092971,0.000825,488.905,0.093788,0.000830,13.488,0.093969,0.000841,495.466,0.094643,0.000819,13.039
5.000,0.100,0.100,0.125551,0.000874,5.218,0.126173,0.000869,0.197,0.125039,0.000869,228.444,0.125553,0.000873,17.325,0.124970,0.000869,231.010,0.125318,0.000867,17.599
5.000,0.100,0.300,0.126336,0.000919,5.491,0.125630,0.000903,0.205,0.134022,0.000949,558.471,0.125208,0.000910,12.350,0.133486,0.000949,550.670,0.124749,0.000901,12.410
5.000,0.100,0.500,0.126238,0.000957,4.938,0.126411,0.000952,0.189,0.128666,0.000973,524.278,0.126003,0.000960,4.500,0.129106,0.000980,516.057,0.124553,0.000947,4.404
5.000,0.100,0.700,0.125664,0.001011,4.948,0.126050,0.000994,0.195,0.125988,0.001010,517.346,0.124017,0.000996,4.426,0.126412,0.001010,512.713,0.124404,0.001004,4.344
5.000,0.100,1.000,0.124588,0.001094,4.962,0.127156,0.001082,0.204,0.123554,0.001093,494.650,0.123348,0.001067,4.419,0.124048,0.001100,494.674,0.122385,0.001062,4.286
5.000,0.200,0.100,0.168619,0.001253,5.026,0.169934,0.001246,0.192,0.167660,0.001247,229.238,0.168680,0.001255,17.343,0.166798,0.001243,233.271,0.144200,0.001143,17.736
5.000,0.200,0.300,0.168322,0.001294,5.423,0.169132,0.001284,0.199,0.172329,0.001307,628.787,0.168957,0.001298,14.995,0.173884,0.001320,621.767,0.158851,0.001251,15.073
5.000,0.200,0.500,0.169430,0.001356,4.948,0.169039,0.001334,0.187,0.176074,0.001389,523.386,0.169101,0.001355,6.371,0.177694,0.001403,522.180,0.162226,0.001315,6.355
5.000,0.200,0.700,0.169366,0.001416,4.945,0.169552,0.001385,0.189,0.172504,0.001431,521.736,0.167703,0.001394,4.561,0.172224,0.001434,516.102,0.162954,0.001364,4.470
5.000,0.200,1.000,0.167565,0.001536,4.948,0.169350,0.001484,0.201,0.168731,0.001506,520.931,0.166815,0.001483,4.471,0.169321,0.001528,512.885,0.163803,0.001461,4.331
